scope,term,spam_df,normal_df,hard_df,score
multisource_fit,fta6,51,0,33,524.2328482658573
multisource_fit,满d,93,0,9,519.0896466817192
multisource_fit,满di,93,0,9,519.0896466817192
multisource_fit,满dig,93,0,9,519.0896466817192
multisource_fit,用户您的,70,0,21,510.9621092065416
multisource_fit,请登,70,0,21,510.9621092065416
multisource_fit,行用,69,0,21,505.21626472988714
multisource_fit,行用户,69,0,21,505.21626472988714
multisource_fit,回td,97,0,5,500.55073072880066
multisource_fit,月日,89,0,9,496.2729438145357
multisource_fit,给您,66,0,21,488.0297127781246
multisource_fit,可兑,69,0,19,484.7727279310711
multisource_fit,a67,49,0,30,482.02292981412694
multisource_fit,ta67,48,0,30,476.26981591890535
multisource_fit,已满,68,0,18,468.9203524587313
multisource_fit,行用户您,66,0,19,467.7064661066183
multisource_fit,可兑换,67,0,17,453.1504281620123
multisource_fit,回td退,86,0,5,438.61349197375694
multisource_fit,接回,86,0,5,438.61349197375694
multisource_fit,lp,158,2,43,433.50852862109843
multisource_fit,金请,59,0,17,408.3177096542463
multisource_fit,即可,135,1,13,405.3196507815822
multisource_fit,l查,59,0,16,398.42746730634246
multisource_fit,rl查,59,0,16,398.42746730634246
multisource_fit,url查,59,0,16,398.42746730634246
multisource_fit,回u,82,0,3,396.43690936656213
multisource_fit,期失,49,0,21,392.166548687801
multisource_fit,现金请,56,0,17,391.6699234815795
multisource_fit,请谅,59,0,15,388.5739302182679
multisource_train,lace,597,0,74,4856.65272203027
multisource_train,plac,597,0,74,4856.65272203027
multisource_train,dig,841,1,81,3427.4698757204314
multisource_train,digi,841,1,81,3427.4698757204314
multisource_train,igit,841,1,81,3427.4698757204314
multisource_train,尊敬,376,0,65,3088.2941102133927
multisource_train,尊敬的,370,0,64,3031.5976695132535
multisource_train,敬的,370,0,64,3031.5976695132535
multisource_train,退订,379,0,26,2594.7445649479487
multisource_train,t元,371,0,22,2486.1619782679404
multisource_train,git元,370,0,22,2479.130988925743
multisource_train,it元,370,0,22,2479.130988925743
multisource_train,git,841,3,81,1713.7349378602157
multisource_train,igi,841,3,81,1713.7349378602157
multisource_train,t.me,222,0,36,1639.2642782013636
multisource_train,lac,598,2,75,1626.1364510244393
multisource_train,http,221,0,35,1620.3302167894042
multisource_train,name,749,3,102,1609.2993866487918
multisource_train,户您,194,0,48,1598.4808800120995
multisource_train,tps,217,0,35,1593.616172753526
multisource_train,tps:,217,0,35,1593.616172753526
multisource_train,ttps,217,0,35,1593.616172753526
multisource_train,llp,178,0,53,1552.3201509248984
multisource_train,ellp,177,0,53,1545.6466297881893
multisource_train,llph,177,0,53,1545.6466297881893
multisource_train,lph,177,0,53,1545.6466297881893
multisource_train,lpho,177,0,53,1545.6466297881893
multisource_train,url,813,4,135,1486.2526275386324
multisource_train,优惠,373,1,43,1387.6098310137243
multisource_train,失效,130,0,53,1235.9397745533297
multisource_train,回t,199,0,13,1211.6520294503302
multisource_train,用户您,149,0,39,1195.1183194335986
multisource_train,nam,749,6,102,919.5996495135952
multisource_train,户您的,113,0,34,909.4926338250689
multisource_train,d退,152,0,7,847.5540271440491
multisource_train,td退,152,0,7,847.5540271440491
multisource_train,您好,299,2,60,824.0545644030218
multisource_train,d退订,148,0,7,823.1265291816745
multisource_train,td退订,148,0,7,823.1265291816745
multisource_train,htt,223,1,36,822.9808813902981
multisource_train,ttp,221,1,35,810.1651083947021
multisource_train,行用,99,0,31,789.7819663585865
multisource_train,行用户,99,0,31,789.7819663585865
multisource_train,cell,177,1,53,772.8233148940947
multisource_train,订回,131,0,11,764.2780730600257
multisource_train,enam,127,0,13,762.1090231182379
multisource_train,退订回,130,0,11,758.2415398129929
multisource_train,ta6,69,0,43,737.4724997191252
multisource_train,逾期,95,0,28,732.6827979719657
multisource_train,用户您的,93,0,29,731.4520220166074
multisource_train,行用户您,91,0,28,708.5487779317427
multisource_train,满d,118,0,10,675.5139242062723
multisource_train,满di,118,0,10,675.5139242062723
multisource_train,满dig,118,0,10,675.5139242062723
multisource_train,详询,106,0,16,668.893625396766
multisource_train,可兑,87,0,26,663.0677827752294
multisource_train,回td,124,0,5,657.1171508115036
multisource_train,请登,87,0,25,652.379518982303
multisource_train,fta,62,0,38,641.5017518409351
multisource_train,fta6,62,0,38,641.5017518409351
multisource_train,月日,108,0,11,627.161418304448
multisource_train,可兑换,84,0,24,623.949268336476
multisource_train,已满,84,0,24,623.949268336476
multisource_train,a67,59,0,34,581.5417321305605
multisource_train,ta67,58,0,34,575.6401356304635
multisource_train,l查,75,0,24,571.0411030625233
multisource_train,rl查,75,0,24,571.0411030625233
multisource_train,url查,75,0,24,571.0411030625233
multisource_train,金请,75,0,24,571.0411030625233
multisource_train,回td退,110,0,4,564.6469232752268
multisource_train,期失,65,0,28,554.2819634369405
multisource_train,现金请,72,0,24,553.5400283989093
multisource_train,接回,102,0,7,549.9562027977128
multisource_train,回u,102,0,6,539.5050064563515
multisource_train,期失效,64,0,27,538.0928406688358
multisource_train,建设银,66,0,25,529.0492635147377
multisource_train,建设银行,66,0,25,529.0492635147377
multisource_train,设银,66,0,25,529.0492635147377
multisource_train,设银行,66,0,25,529.0492635147377
multisource_train,分可兑,65,0,24,512.9783024176502
