scope,term,spam_df,normal_df,hard_df,score,term_type
main_train,"xx元,",66,1,13,203.76423851233548,positive
main_train,新年,67,1,11,196.62515336101598,positive
main_train,您的光临,40,0,5,195.26071122094385,positive
main_train,即日,34,0,8,191.8212059003717,positive
main_train,新年好,34,0,8,191.8212059003717,positive
main_train,即日起,33,0,8,186.88348091416842,positive
main_train,"您好,我",33,0,7,178.25145920180677,positive
main_train,优惠活,40,0,3,177.85691279415826,positive
main_train,优惠活动,40,0,3,177.85691279415826,positive
main_train,可享受,34,0,6,174.53788713510247,positive
main_train,新老顾,35,0,5,170.82431506839816,positive
main_train,新老顾客,35,0,5,170.82431506839816,positive
main_train,你好,90,3,26,170.24771816901978,positive
main_train,线:xx,33,0,6,169.68845488924106,positive
main_train,全场x,53,1,13,168.18770477563862,positive
main_train,到店,34,0,5,165.99957543512713,positive
main_train,至x月,34,0,5,165.99957543512713,positive
main_train,热线:x,32,0,6,164.86027407583407,positive
main_train,迎您,51,1,13,162.80110352592985,positive
main_train,至x月x,33,0,5,161.19671242970443,positive
main_train,欢迎您,50,1,13,160.11699870934734,positive
main_train,无抵,24,0,10,159.99066276702362,positive
main_train,无抵押,24,0,10,159.99066276702362,positive
main_train,话x,53,1,11,158.6267162560342,positive
main_train,话xx,53,1,11,158.6267162560342,positive
main_train,话xxx,53,1,11,158.6267162560342,positive
main_train,x送x,27,0,8,157.67483329206883,positive
main_train,老客,30,0,6,155.26947024370165,positive
main_train,老客户,30,0,6,155.26947024370165,positive
main_train,电话x,51,1,11,153.2959848764867,positive
main_train,电话xx,51,1,11,153.2959848764867,positive
main_train,八妇,31,0,5,151.65855233105742,positive
main_train,八妇女,31,0,5,151.65855233105742,positive
main_train,八妇女节,31,0,5,151.65855233105742,positive
main_train,元宵节,53,1,9,149.15285015009516,positive
main_train,宵节,53,1,9,149.15285015009516,positive
main_train,新春,32,0,3,139.75723859978828,positive
main_train_negative,20,485,2,4,1020.0120877352359,hard_negative
main_train_negative,的人,169,0,0,873.0857342985446,hard_negative
main_train_negative,15,354,2,9,733.2127975428347,hard_negative
main_train_negative,10,345,2,5,695.479965184616,hard_negative
main_train_negative,01,321,2,5,640.7555922459627,hard_negative
main_train_negative,质疑,128,0,0,626.9158001626557,hard_negative
main_train_negative,飞机,319,2,1,619.4680138826217,hard_negative
main_train_negative,201,279,2,1,530.0053389173721,hard_negative
main_train_negative,st,108,0,1,521.7533206029582,hard_negative
main_train_negative,14,104,0,3,519.7165662107884,hard_negative
main_train_negative,城管,108,0,0,511.3569191629766,hard_negative
main_train_negative,18,86,0,6,448.72734982217236,hard_negative
main_train_negative,015,233,2,2,433.4639898653651,hard_negative
main_train_negative,2015,228,2,1,418.7321067870861,hard_negative
main_train_negative,12,156,1,3,413.6266659415569,hard_negative
main_train_negative,30,144,1,4,382.80189240482764,hard_negative
main_train_negative,百度,211,2,0,378.5320967434889,hard_negative
main_train_negative,真相,149,1,0,375.79764705721914,hard_negative
main_train_negative,江苏,195,2,3,356.4158581981158,hard_negative
main_train_negative,警察,79,0,0,350.5621307739105,hard_negative
main_train_negative,南京,349,5,2,345.9542393602877,hard_negative
main_train_negative,公安,78,0,0,345.1863803448947,hard_negative
main_train_negative,腐败,75,0,0,329.13573386176114,hard_negative
main_train_negative,行为,74,0,0,323.81160851522327,hard_negative
main_train_negative,研究,73,0,0,318.5008168971086,hard_negative
main_train_negative,50,169,2,4,306.1039477533954,hard_negative
main_train_negative,nba,68,0,0,292.15334881721094,hard_negative
main_train_negative,法律,68,0,0,292.15334881721094,hard_negative
main_train_negative,犯罪,68,0,0,292.15334881721094,hard_negative
main_train_negative,里的,68,0,0,292.15334881721094,hard_negative
main_train_negative,ea,66,0,1,291.14603165715135,hard_negative
main_train_negative,5年,169,2,0,291.02857809951485,hard_negative
main_train_negative,违法,120,1,0,290.14532800860286,hard_negative
main_train_negative,应该,67,0,0,286.9265239519753,hard_negative
main_train_negative,微软,115,1,0,275.70823108416914,hard_negative
main_train_negative,腾讯,112,1,1,272.3314107826835,hard_negative
main_train_negative,出现,64,0,0,271.3351725432164,hard_negative
main_train_negative,知道,199,3,1,267.8168978569833,hard_negative
main_train_negative,这些,63,0,0,266.168517335019,hard_negative
main_train_negative,wi,156,2,0,264.61019714656146,hard_negative
main_train_negative,真的,111,1,0,264.23593679252525,hard_negative
main_train_negative,ing,62,0,0,261.0174877626666,hard_negative
main_train_negative,所以,62,0,0,261.0174877626666,hard_negative
main_train_negative,15年,153,2,0,258.56356692389966,hard_negative
main_train_negative,er,188,3,2,253.42219290324988,hard_negative
main_train_negative,真是,60,0,0,250.763305714572,hard_negative
main_train_negative,as,59,0,0,245.66067373332604,hard_negative
main_train_negative,这种,57,0,1,244.6522466343432,hard_negative
main_train_negative,015年,146,2,0,244.53119675215805,hard_negative
main_train_negative,sa,55,0,2,243.62658063278514,hard_negative
main_train_negative,go,103,1,0,241.50832675535136,hard_negative
main_train_negative,1日,56,0,1,239.56613762223873,hard_negative
main_train_negative,ar,101,1,0,235.8736134774978,hard_negative
main_train_negative,100,99,1,1,235.37114635890424,hard_negative
main_train_negative,re,100,1,0,233.0635861004836,hard_negative
main_train_negative,声音,139,2,0,230.6099797217675,hard_negative
main_train_negative,nd,135,2,2,229.93850530733621,hard_negative
main_train_negative,电脑,316,7,0,228.19648278988723,hard_negative
main_train_negative,7月,133,2,1,222.37245662254216,hard_negative
main_train_negative,视频,54,0,0,220.40332518778592,hard_negative
main_train_negative,win,95,1,0,219.08871319045613,hard_negative
main_train_negative,40,87,1,4,217.04585169835394,hard_negative
main_train_negative,举报,53,0,0,215.40513851447082,hard_negative
main_train_negative,小偷,53,0,0,215.40513851447082,hard_negative
main_train_negative,那个,53,0,0,215.40513851447082,hard_negative
main_train_negative,80,90,1,2,215.29847592477967,hard_negative
main_train_negative,千骨,129,2,1,214.50868222085066,hard_negative
main_train_negative,花千,129,2,1,214.50868222085066,hard_negative
main_train_negative,花千骨,129,2,1,214.50868222085066,hard_negative
main_train_negative,资者,52,0,0,210.42547141826248,hard_negative
main_train_negative,投资者,51,0,0,205.46467336623422,hard_negative
main_train_negative,浙江,220,5,3,204.740608961849,hard_negative
main_train_negative,and,49,0,1,204.45493290166493,hard_negative
main_train_negative,小伙,49,0,1,204.45493290166493,hard_negative
main_train_negative,am,89,1,0,202.4914351648619,hard_negative
main_train_negative,发布,89,1,0,202.4914351648619,hard_negative
main_train_negative,po,50,0,0,200.5231072689406,hard_negative
main_train_negative,ow,88,1,0,199.7443184530802,hard_negative
main_train_negative,这样,88,1,0,199.7443184530802,hard_negative
main_train_negative,so,48,0,1,199.51317327683543,hard_negative
multisource_fit,lace,486,0,66,3909.2066029423254,positive
multisource_fit,plac,486,0,66,3909.2066029423254,positive
multisource_fit,dig,675,1,69,2691.647376880481,positive
multisource_fit,digi,675,1,69,2691.647376880481,positive
multisource_fit,igit,675,1,69,2691.647376880481,positive
multisource_fit,尊敬,299,0,47,2304.6339632990625,positive
multisource_fit,尊敬的,294,0,46,2256.938518708721,positive
multisource_fit,敬的,294,0,46,2256.938518708721,positive
multisource_fit,退订,303,0,21,2001.203513086089,positive
multisource_fit,git元,297,0,21,1960.164974946847,positive
multisource_fit,it元,297,0,21,1960.164974946847,positive
multisource_fit,t元,297,0,21,1960.164974946847,positive
multisource_fit,igi,675,2,69,1794.4315845869871,positive
multisource_fit,url,649,3,108,1435.5429529915734,positive
multisource_fit,git,675,3,69,1345.8236884402404,positive
multisource_fit,t.me,183,0,33,1344.9743383851148,positive
multisource_fit,http,182,0,32,1326.5475929475326,positive
multisource_fit,lac,487,2,67,1310.132722250094,positive
multisource_fit,tps,178,0,32,1300.5015264346841,positive
multisource_fit,tps:,178,0,32,1300.5015264346841,positive
multisource_fit,ttps,178,0,32,1300.5015264346841,positive
multisource_fit,name,598,3,83,1247.911922062562,positive
multisource_fit,ellp,144,0,40,1174.580060642623,positive
multisource_fit,llp,144,0,40,1174.580060642623,positive
multisource_fit,llph,144,0,40,1174.580060642623,positive
multisource_fit,lph,144,0,40,1174.580060642623,positive
multisource_fit,lpho,144,0,40,1174.580060642623,positive
multisource_fit,户您,153,0,35,1174.1513313733599,positive
multisource_fit,优惠,287,1,36,1040.5338328426192,positive
multisource_fit,回t,156,0,11,917.1895523131833,positive
multisource_fit,失效,97,0,41,888.2053079635244,positive
multisource_fit,用户您,115,0,27,843.6835871441842,positive
multisource_fit,nam,598,6,83,713.0925268928927,positive
multisource_fit,您好,252,2,54,689.1306789596593,positive
multisource_fit,htt,183,1,33,672.4871691925574,positive
multisource_fit,ttp,182,1,32,663.2737964737663,positive
multisource_fit,户您的,87,0,26,663.0677827752294,positive
multisource_fit,d退,121,0,7,660.9344869931874,positive
multisource_fit,td退,121,0,7,660.9344869931874,positive
multisource_fit,d退订,119,0,7,649.1210695854512,positive
multisource_fit,td退订,119,0,7,649.1210695854512,positive
multisource_fit,enam,104,0,11,603.7059542705083,positive
multisource_fit,ta6,57,0,37,601.1117496912714,positive
multisource_fit,cell,144,1,40,587.2900303213115,positive
multisource_fit,td,198,1,10,584.9856005901468,positive
multisource_fit,详询,91,0,16,580.5842721634033,positive
multisource_fit,订回,102,0,8,560.4340939561678,positive
multisource_fit,退订回,101,0,8,554.6566831635051,positive
multisource_fit,逾期,75,0,21,539.8158954633992,positive
multisource_fit,积分,151,1,27,534.3007380015978,positive
multisource_fit,fta,51,0,33,524.2328482658573,positive
multisource_fit,fta6,51,0,33,524.2328482658573,positive
multisource_fit,满d,93,0,9,519.0896466817192,positive
multisource_fit,满di,93,0,9,519.0896466817192,positive
multisource_fit,满dig,93,0,9,519.0896466817192,positive
multisource_fit,用户您的,70,0,21,510.9621092065416,positive
multisource_fit,请登,70,0,21,510.9621092065416,positive
multisource_fit,行用,69,0,21,505.21626472988714,positive
multisource_fit,行用户,69,0,21,505.21626472988714,positive
multisource_fit,回td,97,0,5,500.55073072880066,positive
multisource_fit,月日,89,0,9,496.2729438145357,positive
multisource_fit,给您,66,0,21,488.0297127781246,positive
multisource_fit,可兑,69,0,19,484.7727279310711,positive
multisource_fit,a67,49,0,30,482.02292981412694,positive
multisource_fit,ta67,48,0,30,476.26981591890535,positive
multisource_fit,已满,68,0,18,468.9203524587313,positive
multisource_fit,行用户您,66,0,19,467.7064661066183,positive
multisource_fit,可兑换,67,0,17,453.1504281620123,positive
multisource_fit,回td退,86,0,5,438.61349197375694,positive
multisource_fit,接回,86,0,5,438.61349197375694,positive
multisource_fit,lp,158,2,43,433.50852862109843,positive
multisource_fit,金请,59,0,17,408.3177096542463,positive
multisource_fit,即可,135,1,13,405.3196507815822,positive
multisource_fit,l查,59,0,16,398.42746730634246,positive
multisource_fit,rl查,59,0,16,398.42746730634246,positive
multisource_fit,url查,59,0,16,398.42746730634246,positive
multisource_fit,回u,82,0,3,396.43690936656213,positive
multisource_fit,期失,49,0,21,392.166548687801,positive
multisource_fit,现金请,56,0,17,391.6699234815795,positive
multisource_fit,请谅,59,0,15,388.5739302182679,positive
multisource_fit_negative,201,242,1,2,679.4053890022739,hard_negative
multisource_fit_negative,015,201,1,2,547.7663593659543,hard_negative
multisource_fit_negative,2015,197,1,2,535.1300540213516,hard_negative
multisource_fit_negative,质疑,112,0,0,534.1948235144945,hard_negative
multisource_fit_negative,微软,103,0,0,483.0166535107027,hard_negative
multisource_fit_negative,城管,97,0,0,449.32681290971607,hard_negative
multisource_fit_negative,这样,87,0,0,394.0056396740822,hard_negative
multisource_fit_negative,南京,305,4,0,350.2834082394857,hard_negative
multisource_fit_negative,警察,74,0,0,323.81160851522327,hard_negative
multisource_fit_negative,15年,129,1,0,316.38973927961285,hard_negative
multisource_fit_negative,千骨,127,1,1,315.88780628350867,hard_negative
multisource_fit_negative,花千,127,1,1,315.88780628350867,hard_negative
multisource_fit_negative,花千骨,127,1,1,315.88780628350867,hard_negative
multisource_fit_negative,江苏,176,2,0,305.3928342218559,hard_negative
multisource_fit_negative,015年,122,1,0,295.94933785540366,hard_negative
multisource_fit_negative,7月,118,1,0,284.357847840136,hard_negative
multisource_fit_negative,应该,66,0,0,281.7144054991947,hard_negative
multisource_fit_negative,社会,64,0,1,280.7068677157705,hard_negative
multisource_fit_negative,医生,114,1,0,272.8335973808869,hard_negative
multisource_fit_negative,真是,60,0,0,250.763305714572,hard_negative
multisource_fit_negative,腐败,59,0,0,245.66067373332604,hard_negative
multisource_fit_negative,5年,143,2,0,238.55103837964805,hard_negative
multisource_fit_negative,扬州,56,0,0,230.45392226656938,hard_negative
multisource_fit_negative,小偷,53,0,0,215.40513851447082,hard_negative
multisource_fit_negative,疾病,52,0,0,210.42547141826248,hard_negative
multisource_fit_negative,举报,51,0,0,205.46467336623422,hard_negative
multisource_fit_negative,浙江,209,5,5,196.92339436468095,hard_negative
multisource_fit_negative,1日,47,0,1,194.59101490553132,hard_negative
multisource_fit_negative,月2,47,0,1,194.59101490553132,hard_negative
multisource_fit_negative,都没,47,0,0,185.81764852357878,hard_negative
multisource_fit_negative,月1,81,1,1,185.59130552745714,hard_negative
multisource_fit_negative,虽然,46,0,0,180.95693728037276,hard_negative
multisource_fit_negative,8月,79,1,1,180.17241534157,hard_negative
multisource_fit_negative,江苏省,43,0,0,166.50434389240348,hard_negative
multisource_fit_negative,苏省,43,0,0,166.50434389240348,hard_negative
multisource_fit_negative,违法,105,2,0,164.77484799195972,hard_negative
multisource_fit_negative,的是,75,1,0,164.56786693088057,hard_negative
multisource_fit_negative,其实,42,0,0,161.73160497482317,hard_negative
multisource_fit_negative,苏州,127,3,0,155.26496844542774,hard_negative
multisource_fit_negative,常州,40,0,0,152.25645473487663,hard_negative
multisource_fit_negative,资者,40,0,0,152.25645473487663,hard_negative
multisource_fit_negative,感觉,98,2,0,151.63895505444145,hard_negative
multisource_fit_negative,在的,38,0,1,151.24405761867138,hard_negative
multisource_fit_negative,可是,39,0,0,147.55517816455745,hard_negative
multisource_fit_negative,投资者,39,0,0,147.55517816455745,hard_negative
multisource_fit_negative,真相,121,3,0,146.52264186436432,hard_negative
multisource_fit_negative,0多,67,1,0,143.46326197598765,hard_negative
multisource_fit_negative,年7月,38,0,0,142.8789041990562,hard_negative
multisource_fit_negative,派出,38,0,0,142.8789041990562,hard_negative
multisource_fit_negative,研究生,38,0,0,142.8789041990562,hard_negative
multisource_fit_negative,究生,38,0,0,142.8789041990562,hard_negative
multisource_fit_negative,真的,117,3,0,140.73519642173713,hard_negative
multisource_fit_negative,15年7,37,0,0,138.22827406960266,hard_negative
multisource_fit_negative,5年7,37,0,0,138.22827406960266,hard_negative
multisource_fit_negative,5年7月,37,0,0,138.22827406960266,hard_negative
multisource_fit_negative,之一,37,0,0,138.22827406960266,hard_negative
multisource_fit_negative,的人,159,5,0,135.33796840623538,hard_negative
multisource_fit_negative,出所,36,0,0,133.6039627678363,hard_negative
multisource_fit_negative,南通,36,0,0,133.6039627678363,hard_negative
multisource_fit_negative,法行,36,0,0,133.6039627678363,hard_negative
multisource_fit_negative,派出所,36,0,0,133.6039627678363,hard_negative
multisource_fit_negative,的飞机,36,0,0,133.6039627678363,hard_negative
multisource_fit_negative,了我,63,1,0,133.0842586675095,hard_negative
multisource_fit_negative,发生,63,1,0,133.0842586675095,hard_negative
multisource_fit_negative,里的,63,1,0,133.0842586675095,hard_negative
multisource_fit_negative,百度,194,7,1,129.9735734835515,hard_negative
multisource_fit_negative,他的,35,0,0,129.00668178441995,hard_negative
multisource_fit_negative,公安局,35,0,0,129.00668178441995,hard_negative
multisource_fit_negative,在电,35,0,0,129.00668178441995,hard_negative
multisource_fit_negative,安局,35,0,0,129.00668178441995,hard_negative
multisource_fit_negative,执法,35,0,0,129.00668178441995,hard_negative
multisource_fit_negative,裁判,35,0,0,129.00668178441995,hard_negative
multisource_fit_negative,诉讼,35,0,0,129.00668178441995,hard_negative
multisource_fit_negative,东西,60,1,0,125.381652857286,hard_negative
multisource_fit_negative,在南京,34,0,0,124.43718215212947,hard_negative
multisource_fit_negative,比赛,34,0,0,124.43718215212947,hard_negative
multisource_fit_negative,法行为,34,0,0,124.43718215212947,hard_negative
multisource_fit_negative,goo,59,1,0,122.83033686666302,hard_negative
multisource_fit_negative,nba,59,1,0,122.83033686666302,hard_negative
multisource_fit_negative,华为,81,2,0,120.4503260918896,hard_negative
multisource_train,lace,597,0,74,4856.65272203027,positive
multisource_train,plac,597,0,74,4856.65272203027,positive
multisource_train,dig,841,1,81,3427.4698757204314,positive
multisource_train,digi,841,1,81,3427.4698757204314,positive
